Molecule ChEMBL ID	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	label	pIC50
CHEMBL94	CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C	IC50	'='	7.079457843841402e+16	nM	0	-7.850000000000001
CHEMBL11805	COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC	IC50	'='	5888436553555884.0	nM	0	-6.77
CHEMBL95	Nc1c2c(nc3ccccc13)CCCC2	IC50	'='	4570881896148752.0	nM	0	-6.66
CHEMBL132377	COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC	IC50	'='	3235936569296281.0	nM	0	-6.51
CHEMBL134488	COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC	IC50	'='	537031796370253.25	nM	0	-5.73
CHEMBL422977	COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC	IC50	'='	223872113856833.75	nM	0	-5.35
CHEMBL27673	COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC	IC50	'='	186208713666286.56	nM	0	-5.27
CHEMBL302179	COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC	IC50	'='	154881661891248.6	nM	0	-5.190000000000001
CHEMBL19060	COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC	IC50	'='	138038426460288.69	nM	0	-5.140000000000001
CHEMBL134382	COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC	IC50	'='	138038426460288.69	nM	0	-5.140000000000001
CHEMBL132133	NCCCCCCNCCSSCCNCCCCCCN	IC50	'='	1995262314968.88	nM	0	-3.3000000000000007
CHEMBL371798	CN(CCCCCCCOc1ccc2c(c1)O/C(=C\c1cccc3ccccc13)C2=O)Cc1cccc(O)c1	IC50	'='	49600000.0	nM	0	1.3045183235098028
CHEMBL51628	O=c1ccc2ccc(O)cc2o1	IC50	'='	29000000.0	nM	0	1.5376020021010435
CHEMBL1276534	O=C(NP(=O)(NN1CCOCC1)NN1CCOCC1)c1ccccc1	IC50	'='	18620000.0	nM	0	1.730020323354676
CHEMBL3597055	COC(=O)C1=C(Nc2ccc(F)cc2)C[C@@H](c2ccccc2)N(c2ccc(F)cc2)[C@@H]1c1ccccc1	IC50	'='	15120000.0	nM	0	1.8204482088348124
CHEMBL334938	C[N+]1(C)CCO[C@@](O)(c2ccc(C#N)cc2)C1	IC50	'='	11587773.56	nM	0	1.9360000000581392
CHEMBL1276594	O=P(NN1CCOCC1)(NN1CCOCC1)Oc1ccccc1	IC50	'='	9550000.0	nM	0	2.019996628416254
CHEMBL335439	C[N+]1(C)CCO[C@@](O)(c2ccc(Cl)cc2)C1	IC50	'='	8128305.16	nM	0	2.090000000087678
CHEMBL3597004	COC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(C)cc2)[C@@H]1c1ccc(C)cc1	IC50	'='	6780000.0	nM	0	2.168770306132937
CHEMBL3597001	COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1	IC50	'='	6520000.0	nM	0	2.1857524042680794
CHEMBL4763394	O/N=C/c1cc(Cl)cc(CNc2ccc(N3CCOCC3)c(F)c2)c1O	IC50	'='	5917000.0	nM	0	2.2278984307229885
CHEMBL3597007	COC(=O)C1=C(Nc2ccc(OC)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(OC)cc2)[C@@H]1c1ccc(C)cc1	IC50	'='	5840000.0	nM	0	2.2335871528876003
CHEMBL3597002	COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccc(C)cc2)N(c2ccccc2)[C@@H]1c1ccc(C)cc1	IC50	'='	5730000.0	nM	0	2.24184537803261
CHEMBL3597003	CCOC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccc(C)cc2)N(c2ccccc2)[C@@H]1c1ccc(C)cc1	IC50	'='	5580000.0	nM	0	2.2533658010624213
CHEMBL1275924	O=P(O)(NN1CCCCC1)Oc1ccccc1	IC50	'='	5490000.0	nM	0	2.2604276555499077
CHEMBL3597062	CCOC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccc(Cl)cc2)N(c2ccc(C)cc2)[C@@H]1c1ccc(Cl)cc1	IC50	'='	5390000.0	nM	0	2.2684112348132617
CHEMBL4764015	Cc1cc(/C=N/O)c(O)c(CNc2ccc(N3CCOCC3=O)cc2)c1	IC50	'='	5305000.0	nM	0	2.2753146117626404
CHEMBL3597054	CCOC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccccc2)N(c2ccc(C)cc2)[C@@H]1c1ccccc1	IC50	'='	5180000.0	nM	0	2.285670240254767
CHEMBL4753561	Cc1cc(/C=N/O)c(O)c(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1	IC50	'='	5149000.0	nM	0	2.2882771081727658
CHEMBL609719	C[N+]1(C)CCO[C@@](O)(c2ccc([N+](=O)[O-])cc2)C1.[Cl-]	IC50	'='	5116818.36	nM	0	2.2909999996098325
CHEMBL3597008	CCOC(=O)C1=C(Nc2ccc(OC)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(OC)cc2)[C@@H]1c1ccc(C)cc1	IC50	'='	4980000.0	nM	0	2.3027706572402824
CHEMBL3597010	CCOC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccccc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccccc1	IC50	'='	4600000.0	nM	0	2.3372421683184257
CHEMBL4796213	O=S(=O)(Nc1nccs1)c1ccc(NCc2cc(Cl)cc(/C=N/O)c2O)cc1	IC50	'='	4275000.0	nM	0	2.3690638809358084
CHEMBL4754173	O=C1COCCN1c1ccc(NCc2cc(Cl)cc(/C=N/O)c2O)cc1	IC50	'='	4177000.0	nM	0	2.3791355247348793
CHEMBL4778694	O=c1[nH]c2cc(Cl)ccc2n1C1CCN(Cc2cc(Cl)cc(/C=N/O)c2O)CC1	IC50	'='	4148000.0	nM	0	2.3821612522829962
CHEMBL344864	C[N+]1(C)CCO[C@@](O)(C(F)(F)F)C1	IC50	'='	3828247.43	nM	0	2.417000000359419
CHEMBL423352	CC(C)(C)[C@@]1(O)C[N+](C)(C)CCO1	IC50	'='	3706807.22	nM	0	2.4309999997452634
CHEMBL3597068	COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccc3c(c2)OCO3)N(c2ccccc2)[C@@H]1c1ccc2c(c1)OCO2	IC50	'='	3270000.0	nM	0	2.4854522473397136
CHEMBL4785155	Cc1cc(/C=N/O)c(O)c(CNc2ccc(N3CCOCC3)c(F)c2)c1	IC50	'='	3269000.0	nM	0	2.4855850794196312
CHEMBL4752879	Cc1cc(/C=N/O)c(O)c(CNc2ccc(Cn3cncn3)cc2)c1	IC50	'='	3255000.0	nM	0	2.4874490070957895
CHEMBL3597058	COC(=O)C1=C(Nc2ccc(F)cc2)C[C@@H](c2ccc(F)cc2)N(c2ccc(F)cc2)[C@@H]1c1ccc(F)cc1	IC50	'='	3200000.0	nM	0	2.4948500216800937
CHEMBL4796014	Cc1cc(/C=N/O)c(O)c(CNc2ccc(-n3cccn3)cc2)c1	IC50	'='	3183000.0	nM	0	2.4971633613789965
CHEMBL4751296	O/N=C/c1cc(Cl)cc(CNc2ccc(-n3cccn3)cc2)c1O	IC50	'='	3035000.0	nM	0	2.517841304588724
CHEMBL920	C[N+](C)(C)CCO	IC50	'='	3013006.02	nM	0	2.5210000006033875
CHEMBL3597000	CCOC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1	IC50	'='	2950000.0	nM	0	2.5301779840218366
CHEMBL135503	C=CC[N+](C)(C)C	IC50	'='	2917427.01	nM	0	2.5350000005956224
CHEMBL4786519	CCCCCCCCCCCCCCCCc1ccc(C(=O)[O-])c[n+]1C	IC50	'='	2800000.0	nM	0	2.5528419686577806
CHEMBL3597060	CC(C)(C)OC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1	IC50	'='	2790000.0	nM	0	2.5543957967264026
CHEMBL4756653	CCCCCCCCCCCCCCCCc1cc[n+](C)cc1C(=O)[O-]	IC50	'='	2600000.0	nM	0	2.585026652029182
CHEMBL32778	O/N=C/c1cc[n+](CCC[n+]2ccc(/C=N/O)cc2)cc1	IC50	'='	2570000.0	nM	0	2.590066876668706
CHEMBL3261984	O=C(/C=N/O)Nc1ccc[n+](CC[n+]2cccc(NC(=O)/C=N/O)c2)c1.[Br-].[Br-]	IC50	'='	2530000.0	nM	0	2.5968794788241825
CHEMBL4783532	COc1ccc(C(CN(C)c2ccc(NCc3cc(Cl)cc(/C=N/O)c3O)cc2)C2(O)CCCCC2)cc1	IC50	'='	2505000.0	nM	0	2.6011922697967353
CHEMBL3597948	CCOC(=O)c1csc(NC(=O)C[n+]2ccc(/C=N/O)cc2)n1.[Cl-]	IC50	'='	2490000.0	nM	0	2.6038006529042637
CHEMBL3597005	COC(=O)C1=C(Nc2ccc(Br)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(Br)cc2)[C@@H]1c1ccc(C)cc1	IC50	'='	2480000.0	nM	0	2.605548319173784
CHEMBL399121	COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O	IC50	'='	2476100.0	nM	0	2.6062318198412546
CHEMBL502689	CC(C)=CCc1cc2ccc(=O)oc2cc1O	IC50	'='	2400000.0	nM	0	2.6197887582883936
CHEMBL341956	C[N+](C)(C)CCCl	IC50	'='	2387811.28	nM	0	2.622000000529848
CHEMBL1081125	[Br-].[Br-].c1cc[n+](Cc2cccc(C[n+]3ccccc3)c2)cc1	IC50	'='	2360000.0	nM	0	2.6270879970298937
CHEMBL3597939	O=C(C[n+]1ccc(/C=N/O)cc1)Nc1nccs1.[Cl-]	IC50	'='	2360000.0	nM	0	2.6270879970298937
CHEMBL1081613	C(=C/C[n+]1ccccc1)\C[n+]1ccccc1.[Br-].[Br-]	IC50	'='	2290000.0	nM	0	2.6401645176601116
CHEMBL3597946	CCOC(=O)Cc1csc(NC(=O)C[n+]2ccc(/C=N/O)cc2)n1.[Cl-]	IC50	'='	2270000.0	nM	0	2.6439741428068775
CHEMBL3597009	CCOC(=O)C1=C(Nc2ccc(OC)cc2)C[C@@H](c2ccccc2)N(c2ccc(OC)cc2)[C@@H]1c1ccccc1	IC50	'='	2250000.0	nM	0	2.6478174818886373
CHEMBL291233	O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1.[Cl-].[Cl-]	IC50	'='	2210000.0	nM	0	2.655607726314889
CHEMBL451635	O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1	IC50	'='	2169000.0	nM	0	2.6637404479858064
CHEMBL590824	CS(=O)(=O)[O-].CS(=O)(=O)[O-].O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1	IC50	'='	2169000.0	nM	0	2.6637404479858064
CHEMBL3597064	COC(=O)C1=C(Nc2ccc(Br)cc2)C[C@@H](c2ccc(OC)cc2)N(c2ccc(Br)cc2)[C@@H]1c1ccc(OC)cc1	IC50	'='	2160000.0	nM	0	2.6655462488490693
CHEMBL3597006	COC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(C)cc1	IC50	'='	2150000.0	nM	0	2.667561540084395
CHEMBL360055	CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC	IC50	'='	2110000.0	nM	0	2.675717544702307
CHEMBL4794629	CCCCCCCCCCCCCCCCc1c(C(=O)[O-])ccc[n+]1C	IC50	'='	2100000.0	nM	0	2.6777807052660805
CHEMBL3261992	O=C(/C=N/O)Nc1ccc[n+](Cc2ccc(C[n+]3cccc(NC(=O)/C=N/O)c3)cc2)c1.[Br-].[Br-]	IC50	'='	2100000.0	nM	0	2.6777807052660805
CHEMBL342370	CC(=O)Nc1ccc([C@@]2(O)C[N+](C)(C)CCO2)cc1	IC50	'='	2070141.35	nM	0	2.683999999746373
CHEMBL9352	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21	IC50	'='	2045000.0	nM	0	2.6893066876566394
CHEMBL1081449	[Br-].[Br-].c1cc[n+](CCOCC[n+]2ccccc2)cc1	IC50	'='	2010000.0	nM	0	2.6968039425795114
CHEMBL451825	O/N=C/c1cc[n+](C[n+]2ccc(/C=N/O)cc2)cc1.[Br-].[Br-]	IC50	'='	2010000.0	nM	0	2.6968039425795114
CHEMBL1076550	C(=C\C[n+]1ccccc1)\C[n+]1ccccc1.[Cl-].[Cl-]	IC50	'='	1990000.0	nM	0	2.7011469235902936
CHEMBL1276567	O=C(NP(=O)(NN1CCCCC1)NN1CCCCC1)c1ccccc1	IC50	'='	1950000.0	nM	0	2.7099653886374817
CHEMBL4783438	Cc1cc(/C=N/O)c(O)c(CN2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)c1	IC50	'='	1905000.0	nM	0	2.7201050199883623
CHEMBL3827575	NC(=O)c1cc[n+](CC[n+]2cccc(NC(=O)/C=N\O)c2)cc1.[Br-].[Br-]	IC50	'='	1870000.0	nM	0	2.7281583934635014
CHEMBL3261987	O=C(/C=N\O)Nc1ccc[n+](CCCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1.[Br-].[Br-]	IC50	'='	1790000.0	nM	0	2.7471469690201067
CHEMBL1081448	[Cl-].[Cl-].c1cc[n+](COC[n+]2ccccc2)cc1	IC50	'='	1770000.0	nM	0	2.7520267336381936
CHEMBL345031	C[N+]1(C)CCO[C@H](O)C1	IC50	'='	1761976.05	nM	0	2.753999999115533
CHEMBL342903	C[C@@]1(O)C[N+](C)(C)CCO1	IC50	'='	1729816.36	nM	0	2.7619999998029403
CHEMBL3261990	O=C(/C=N/O)Nc1ccc[n+](Cc2ccccc2C[n+]2cccc(NC(=O)/C=N/O)c2)c1.[Br-].[Br-]	IC50	'='	1700000.0	nM	0	2.769551078621726
CHEMBL3828381	NC(=O)c1cc[n+](CCC[n+]2cccc(NC(=O)/C=N\O)c2)cc1.[Br-].[Br-]	IC50	'='	1670000.0	nM	0	2.7772835288524167
CHEMBL3261991	O=C(/C=N/O)Nc1ccc[n+](Cc2cccc(C[n+]3cccc(NC(=O)/C=N/O)c3)c2)c1.[Br-].[Br-]	IC50	'='	1670000.0	nM	0	2.7772835288524167
CHEMBL8996	O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	IC50	'='	1663800.0	nM	0	2.7788988800384944
CHEMBL3597944	COc1ccc(-c2csc(NC(=O)C[n+]3ccc(/C=N/O)cc3)n2)cc1.[I-]	IC50	'='	1660000.0	nM	0	2.779891911959945
CHEMBL189797	CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OCC3=O)c1	IC50	'='	1610000.0	nM	0	2.79317412396815
CHEMBL4080917	COc1cc2c(cc1OC)CN(Cc1cc(Cl)cc(/C=N/O)c1O)CC2	IC50	'='	1567000.0	nM	0	2.8049310035314097
CHEMBL3828385	NC(=O)c1cc[n+](CCCC[n+]2cccc(NC(=O)/C=N\O)c2)cc1.[Br-].[Br-]	IC50	'='	1560000.0	nM	0	2.806875401645539
CHEMBL1081126	[Br-].[Br-].c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1	IC50	'='	1540000.0	nM	0	2.8124792791635373
CHEMBL4276921	CN(C)Cc1cc(N)ccc1O.Cl.Cl	IC50	'='	1536500.0	nM	0	2.8134674354076026
CHEMBL136568	CCSCC[N+](C)(C)C	IC50	'='	1510080.15	nM	0	2.8210000011975964
CHEMBL1203984	CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1OCC[N+](CC)(CC)CC.Cl.[Br-].[Br-].[Br-]	IC50	'='	1480000.0	nM	0	2.8297382846050425
CHEMBL3261988	O=C(/C=N\O)Nc1ccc[n+](CCCCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1.[Br-].[Br-]	IC50	'='	1430000.0	nM	0	2.8446639625349386
CHEMBL4100057	COc1cc(/C=N/O)c(O)c(CN2CCc3cc(OC)c(OC)cc3C2)c1	IC50	'='	1382000.0	nM	0	2.8594919569618202
CHEMBL385181	NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1	IC50	'='	1360000.0	nM	0	2.866461091629782
CHEMBL1669488	[Br-].[Br-].c1ccc2c[n+](CCOCC[n+]3ccc4ccccc4c3)ccc2c1	IC50	'='	1310000.0	nM	0	2.8827287043442356
CHEMBL1088019	[Br-].[Br-].c1cc[n+](CCCCC[n+]2ccccc2)cc1	IC50	'='	1270000.0	nM	0	2.8961962790440428
CHEMBL4068713	COc1cc2c(cc1OC)CN(Cc1cccc(/C=N/O)c1O)CC2	IC50	'='	1265000.0	nM	0	2.8979094744881637
CHEMBL4753820	COc1ccc(C(CN(C)c2ccc(NCc3cc(C)cc(/C=N/O)c3O)cc2)C2(O)CCCCC2)cc1	IC50	'='	1256000.0	nM	0	2.901010360598823
CHEMBL748	C[n+]1ccccc1/C=N/O.[Cl-]	IC50	'='	1210000.0	nM	0	2.91721462968355
CHEMBL4092905	COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1cc(Cl)cc(/C=N/O)c1O)CC2	IC50	'='	1207000.0	nM	0	2.9182927299026504
CHEMBL1788297	C#CCN(C)[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21.Cl	IC50	'='	1200000.0	nM	0	2.920818753952375
CHEMBL134914	CCOCC[N+](C)(C)C	IC50	'='	1158777.36	nM	0	2.9359999985589917
CHEMBL4288742	CCCN(C)Cc1cc(N)ccc1O.Cl.Cl	IC50	'='	1151000.0	nM	0	2.938924676370208
CHEMBL140403	C=CCCC[N+](C)(C)C	IC50	'='	1129795.91	nM	0	2.9470000017962272
CHEMBL4065242	COc1cc2c(cc1OC)C(c1ccccc1)N(Cc1cc(C)cc(/C=N/O)c1O)CC2	IC50	'='	1124000.0	nM	0	2.9492336887669577
CHEMBL3261985	O=C(/C=N\O)Nc1ccc[n+](CCC[n+]2cccc(NC(=O)/C=N\O)c2)c1.[Br-].[Br-]	IC50	'='	1070000.0	nM	0	2.9706162223147903
CHEMBL3261986	O=C(/C=N\O)Nc1ccc[n+](CCCC[n+]2cccc(NC(=O)/C=N\O)c2)c1.[Br-].[Br-]	IC50	'='	1060000.0	nM	0	2.9746941347352296
